15 1859 8759
0 0 0.519919 -0.376109
1 0 0.52959 -0.408219
0 1 -0.30571 -0.342113
1 1 -0.26989 -0.381718
0 2 -0.294248 -0.3347
1 2 -0.259412 -0.374963
0 3 0.234487 -0.333227
1 3 0.252274 -0.357136
0 4 -0.133827 -0.329914
1 4 -0.102667 -0.351353
0 5 -0.130503 -0.329652
1 5 -0.0991786 -0.350922
0 6 -0.122866 -0.326615
1 6 -0.0921701 -0.348629
0 7 -0.119354 -0.325036
1 7 -0.0887504 -0.346902
0 8 -0.290035 -0.320816
1 8 -0.255963 -0.361761
0 9 -0.101691 -0.313992
1 9 -0.0741789 -0.338501
0 10 -0.0867744 -0.30277
1 10 -0.0590585 -0.327607
0 11 -0.252826 -0.300309
1 11 -0.221566 -0.341841
0 12 -0.0806915 -0.296054
1 12 -0.0540667 -0.32159
0 13 -0.0747485 -0.292624
1 13 -0.0482692 -0.31819
0 14 -0.237287 -0.286242
1 14 -0.206963 -0.327787
0 15 -0.0617404 -0.281056
1 15 -0.0361811 -0.30731
0 16 -0.221516 -0.276035
1 16 -0.191965 -0.317143
0 17 -0.0671131 -0.273487
1 17 -0.0417441 -0.301221
0 18 -0.0563557 -0.272238
1 18 -0.0314978 -0.299544
0 19 -0.215497 -0.268415
1 19 -0.187046 -0.309998
0 20 -0.0488365 -0.267789
1 20 -0.0240451 -0.294948
0 21 -0.0766407 -0.266701
1 21 -0.050818 -0.294863
0 22 -0.211293 -0.264943
1 22 -0.183089 -0.306456
0 23 -0.203203 -0.261486
1 23 -0.17492 -0.302231
0 24 -0.219758 -0.257558
1 24 -0.191635 -0.299593
0 25 -0.05372 -0.255235
1 25 -0.029122 -0.283128
0 26 -0.0394629 -0.255761
1 26 -0.0170699 -0.285761
0 27 -0.207272 -0.254232
1 27 -0.17901 -0.296448
0 28 -0.199609 -0.249679
1 28 -0.172473 -0.291526
0 29 -0.191841 -0.249508
1 29 -0.165847 -0.29198
0 30 0.438289 -0.249832
1 30 0.449484 -0.282348
0 31 -0.183007 -0.246218
1 31 -0.156188 -0.287043
0 32 -0.206527 -0.241879
1 32 -0.178797 -0.284834
0 33 -0.0430233 -0.241826
1 33 -0.019378 -0.271822
0 34 0.41127 -0.236269
1 34 0.422583 -0.268767
0 35 -0.173662 -0.234752
1 35 -0.148806 -0.276573
0 36 -0.196624 -0.232936
1 36 -0.170139 -0.276807
0 37 -0.170761 -0.232005
1 37 -0.144254 -0.272534
0 38 0.400926 -0.231899
1 38 0.41201 -0.264395
0 39 -0.160643 -0.228287
1 39 -0.135046 -0.269143
0 40 -0.174491 -0.224657
1 40 -0.148265 -0.266738
0 41 -0.163643 -0.223761
1 41 -0.137596 -0.265287
0 42 -0.0272498 -0.220893
1 42 -0.00480077 -0.251865
0 43 -0.179477 -0.218249
1 43 -0.154242 -0.262139
0 44 -0.15111 -0.216994
1 44 -0.126665 -0.258496
0 45 -0.174036 -0.214554
1 45 -0.148855 -0.257442
0 46 -0.162111 -0.213789
1 46 -0.13784 -0.256905
0 47 -0.141121 -0.21215
1 47 -0.116355 -0.252971
0 48 -0.175474 -0.209478
1 48 -0.149768 -0.253108
0 49 -0.165825 -0.205414
1 49 -0.140439 -0.248618
0 50 -0.153708 -0.203513
1 50 -0.129991 -0.245833
0 51 -0.131646 -0.201601
1 51 -0.107782 -0.242434
0 52 0.00798264 -0.202462
1 52 0.0293444 -0.233613
0 53 -0.119927 -0.195066
1 53 -0.09668 -0.235581
0 54 0.451932 -0.196112
1 54 0.446124 -0.25982
0 55 -0.142657 -0.194629
1 55 -0.118707 -0.237198
0 56 -0.129813 -0.191191
1 56 -0.107221 -0.233747
0 57 -0.152782 -0.186067
1 57 -0.129556 -0.230423
0 58 -0.112753 -0.185742
1 58 -0.0892416 -0.225977
0 59 0.0200513 -0.185483
1 59 0.0398108 -0.218461
0 60 -0.149563 -0.184502
1 60 -0.124993 -0.228265
0 61 0.462827 -0.184794
1 61 0.454245 -0.252887
0 62 0.311709 -0.183554
1 62 0.323368 -0.217044
0 63 0.436013 -0.183104
1 63 0.429655 -0.249034
0 64 -0.142236 -0.181933
1 64 -0.119517 -0.225938
0 65 -0.108517 -0.182216
1 65 -0.0864301 -0.223345
0 66 -0.121932 -0.178679
1 66 -0.0989933 -0.22051
0 67 0.00419831 -0.17761
1 67 0.0237472 -0.211309
0 68 -0.133899 -0.175801
1 68 -0.112453 -0.220423
