18 7010 29614
0 0 0.164905 -0.249066
1 0 0.163951 -0.261502
0 1 0.148674 -0.231846
1 1 0.149629 -0.243326
0 2 0.123849 -0.225149
1 2 0.12003 -0.238542
0 3 0.125758 -0.224193
1 3 0.122894 -0.236629
0 4 0.126713 -0.222279
1 4 0.123849 -0.234716
0 5 0.150583 -0.218453
1 5 0.147719 -0.230889
0 6 0.160131 -0.213669
1 6 0.158222 -0.225149
0 7 0.119075 -0.212713
1 7 0.114301 -0.226106
0 8 0.163951 -0.210799
1 8 0.161086 -0.221323
0 9 0.177318 -0.210799
1 9 0.175408 -0.220366
0 10 0.130532 -0.208886
1 10 0.126713 -0.222279
0 11 0.198324 -0.206973
1 11 0.198324 -0.216539
0 12 0.176363 -0.206016
1 12 0.176363 -0.216539
0 13 0.11812 -0.205059
1 13 0.114301 -0.218453
0 14 0.181137 -0.205059
1 14 0.179037 -0.215583
0 15 0.122894 -0.204103
1 15 0.11812 -0.216539
0 16 0.201188 -0.204103
1 16 0.203098 -0.213669
0 17 0.141035 -0.203146
1 17 0.137216 -0.215583
0 18 0.201188 -0.202189
1 18 0.203098 -0.210799
0 19 0.102843 -0.201233
1 19 0.0990238 -0.214626
0 20 0.170634 -0.201233
1 20 0.16777 -0.211756
0 21 0.175408 -0.201233
1 21 0.172162 -0.212139
0 22 0.198324 -0.201233
1 22 0.200233 -0.210799
0 23 0.105707 -0.200276
1 23 0.104753 -0.213669
0 24 0.162041 -0.200276
1 24 0.158222 -0.211756
0 25 0.1439 -0.199319
1 25 0.139126 -0.210799
0 26 0.113346 -0.198363
1 26 0.108572 -0.211756
0 27 0.152493 -0.197406
1 27 0.147719 -0.208886
0 28 0.162041 -0.197406
1 28 0.159177 -0.208886
0 29 0.11621 -0.19645
1 29 0.110482 -0.209843
0 30 0.163951 -0.195493
1 30 0.159177 -0.206016
0 31 0.128623 -0.194536
1 31 0.124804 -0.206973
0 32 0.160131 -0.194536
1 32 0.155357 -0.206016
0 33 0.160131 -0.191666
1 33 0.156312 -0.203146
0 34 0.190685 -0.191666
1 34 0.18973 -0.201233
0 35 0.120984 -0.18784
1 35 0.118311 -0.200659
0 36 0.197369 -0.18784
1 36 0.198324 -0.19645
0 37 0.135306 -0.185926
1 37 0.131487 -0.197406
0 38 0.157267 -0.185926
1 38 0.152493 -0.197406
0 39 0.187821 -0.185926
1 39 0.187821 -0.195493
0 40 0.132442 -0.18497
1 40 0.128623 -0.197406
0 41 0.188776 -0.183056
1 41 0.188776 -0.191666
0 42 0.131487 -0.1821
1 42 0.128623 -0.194536
0 43 0.187821 -0.180186
1 43 0.187821 -0.188796
0 44 0.145809 -0.17923
1 44 0.141035 -0.189753
0 45 0.149629 -0.178273
1 45 0.144855 -0.189753
0 46 0.153448 -0.178273
1 46 0.148674 -0.188796
0 47 0.16586 -0.174446
1 47 0.162041 -0.184013
0 48 0.222194 -0.171576
1 48 0.22143 -0.177699
0 49 0.225058 -0.171576
1 49 0.224867 -0.178847
0 50 0.162996 -0.17062
1 50 0.160704 -0.181143
0 51 -0.034649 -0.166793
1 51 -0.0308298 -0.1821
0 52 0.214555 -0.166793
1 52 0.212646 -0.17349
0 53 0.151538 -0.162967
1 53 0.148674 -0.172533
0 54 0.154403 -0.16201
1 54 0.151538 -0.172533
0 55 0.158222 -0.16201
1 55 0.155357 -0.171576
0 56 0.179228 -0.161053
1 56 0.178273 -0.169663
0 57 -0.0317846 -0.160097
1 57 -0.0279653 -0.17636
0 58 0.186866 -0.160097
1 58 0.177662 -0.170352
0 59 -0.0289201 -0.15914
1 59 -0.0251009 -0.175403
0 60 0.183047 -0.15914
1 60 0.181137 -0.166793
0 61 0.214555 -0.158183
1 61 0.208827 -0.165836
0 62 -0.246616 -0.157227
1 62 -0.252345 -0.184013
0 63 0.199278 -0.157227
1 63 0.196414 -0.165836
0 64 0.136261 -0.155313
1 64 0.131487 -0.16488
0 65 0.152493 -0.155313
1 65 0.148674 -0.165836
0 66 0.160131 -0.155313
1 66 0.155357 -0.16488
0 67 0.150583 -0.154357
1 67 0.146764 -0.163923
0 68 -0.0222365 -0.1534
1 68 -0.0193721 -0.169663
0 69 0.0188202 -0.151487
1 69 0.0235942 -0.16488
0 70 0.149629 -0.151487
1 70 0.144855 -0.16201
0 71 0.145809 -0.15053
1 71 0.142945 -0.161053
0 72 0.159177 -0.15053
1 72 0.156312 -0.160097
0 73 0.21551 -0.15053
1 73 0.209972 -0.158183
0 74 0.16777 -0.149573
1 74 0.163951 -0.158183
0 75 -0.0107788 -0.148617
1 75 -0.00886922 -0.162967
0 76 0.00354326 -0.14766
1 76 0.00717154 -0.161627
0 77 0.0130913 -0.14766
1 77 0.0186292 -0.160479
0 78 0.125758 -0.14766
1 78 0.121939 -0.157227
0 79 -0.265712 -0.146703
1 79 -0.271441 -0.175403
0 80 -0.00695961 -0.146703
1 80 -0.00409519 -0.161053
0 81 0.00640767 -0.146703
1 81 0.00927209 -0.161053
0 82 0.140081 -0.146703
1 82 0.137216 -0.155313
0 83 -0.00409519 -0.145747
1 83 -0.000275968 -0.15914
0 84 -0.247571 -0.14479
1 84 -0.2533 -0.172533
0 85 -0.0060048 -0.14479
1 85 -0.00409519 -0.15914
0 86 0.153448 -0.14479
1 86 0.150583 -0.154357
0 87 0.206917 -0.14479
1 87 0.201188 -0.152443
0 88 0.138171 -0.143833
1 88 0.135497 -0.153591
0 89 0.162996 -0.143833
1 89 0.159559 -0.152443
0 90 0.0102269 -0.142877
1 90 0.0150009 -0.155313
0 91 -0.246616 -0.14192
1 91 -0.252918 -0.168515
0 92 -0.00409519 -0.14192
1 92 -0.000275968 -0.15627
0 93 0.16777 -0.14192
1 93 0.163951 -0.15053
0 94 0.173499 -0.140007
1 94 0.170634 -0.14766
0 95 0.00545287 -0.138093
1 95 0.00831729 -0.151487
0 96 0.199278 -0.137137
1 96 0.195459 -0.143833
0 97 0.202143 -0.13618
1 97 0.198324 -0.142877
0 98 0.147719 -0.135223
1 98 0.1439 -0.14479
0 99 0.151538 -0.135223
1 99 0.147719 -0.143833
0 100 0.19355 -0.13331
1 100 0.188203 -0.140963
0 101 -0.315362 -0.132353
1 101 -0.32491 -0.16201
0 102 -0.239932 -0.131397
1 102 -0.245661 -0.157227
0 103 0.145809 -0.131397
1 103 0.142945 -0.140963
0 104 0.187821 -0.131397
1 104 0.182092 -0.13905
0 105 -0.243751 -0.13044
1 105 -0.24948 -0.157035
0 106 -0.306769 -0.129484
1 106 -0.315362 -0.15914
0 107 -0.302949 -0.129484
1 107 -0.311543 -0.15914
0 108 -0.264757 -0.129484
1 108 -0.271441 -0.157227
0 109 -0.222746 -0.129484
1 109 -0.228475 -0.155313
0 110 -0.257119 -0.128527
1 110 -0.264757 -0.15627
0 111 -0.0136433 -0.126614
1 111 -0.0107788 -0.140963
0 112 0.124804 -0.126614
1 112 0.125758 -0.135223
0 113 -0.300085 -0.1247
1 113 -0.308678 -0.1534
0 114 -0.279079 -0.123744
1 114 -0.286718 -0.152443
0 115 -0.00791441 -0.123744
1 115 -0.00409519 -0.138093
0 116 -0.308678 -0.122787
1 116 -0.317272 -0.152443
0 117 -0.0107788 -0.12183
1 117 -0.00791441 -0.135223
0 118 -0.0155529 -0.120874
1 118 -0.0126884 -0.135223
0 119 0.204052 -0.11896
1 119 0.205389 -0.124892
0 120 -0.280989 -0.11609
1 120 -0.289582 -0.14479
0 121 -0.30104 -0.115134
1 121 -0.309633 -0.143833
0 122 -0.00695961 -0.115134
1 122 -0.00314039 -0.128527
0 123 -0.242797 -0.114177
1 123 -0.246616 -0.140007
0 124 -0.0126884 -0.114177
1 124 -0.0111607 -0.128336
0 125 -0.285763 -0.11035
1 125 -0.294356 -0.13905
0 126 -0.00791441 -0.11035
1 126 -0.00409519 -0.123744
0 127 -0.297221 -0.109394
1 127 -0.305814 -0.138093
0 128 -0.0193721 -0.109394
1 128 -0.0157438 -0.122596
0 129 -0.00314039 -0.109394
1 129 0.000678838 -0.122787
0 130 0.000678838 -0.109394
1 130 0.00545287 -0.12183
0 131 -0.312497 -0.10748
1 131 -0.321091 -0.137137
0 132 -0.0193721 -0.10748
1 132 -0.0165077 -0.120874
0 133 -0.00505 -0.10748
1 133 -0.00218558 -0.120874
0 134 -0.00791441 -0.106524
1 134 -0.00409519 -0.119917
0 135 0.150583 -0.106524
1 135 0.150392 -0.113412
0 136 -0.306769 -0.105567
1 136 -0.315362 -0.135223
0 137 -0.298175 -0.105567
1 137 -0.306769 -0.134267
0 138 -0.0193721 -0.10461
1 138 -0.0155529 -0.118004
0 139 0.142945 -0.10461
1 139 0.142945 -0.112264
0 140 0.171589 -0.103654
1 140 0.172162 -0.10882
0 141 -0.0212817 -0.10174
1 141 -0.0184173 -0.11609
0 142 -0.25139 -0.0998271
1 142 -0.255209 -0.126614
0 143 0.00831729 -0.0998271
1 143 0.0140461 -0.111307
0 144 0.00449806 -0.0988705
1 144 0.00927209 -0.111307
0 145 -0.0060048 -0.0979138
1 145 -0.00218558 -0.11035
0 146 0.00163364 -0.0979138
1 146 0.00640767 -0.11035
0 147 0.00927209 -0.0969572
1 147 0.0140461 -0.108437
0 148 -0.0251009 -0.0950439
1 148 -0.0222365 -0.108437
0 149 -0.00314039 -0.0950439
1 149 0.000678838 -0.108437
0 150 0.00258845 -0.0950439
1 150 0.00640767 -0.108437
0 151 0.136261 -0.0940872
1 151 0.137789 -0.100784
0 152 0.0130913 -0.0931306
1 152 0.0169105 -0.105567
0 153 -0.2533 -0.0921739
1 153 -0.257119 -0.118004
0 154 -0.0212817 -0.0902606
1 154 -0.0184173 -0.103654
0 155 0.130532 -0.0893039
1 155 0.132442 -0.0960005
0 156 -0.304859 -0.0883473
1 156 -0.309633 -0.118004
0 157 -0.231339 -0.0883473
1 157 -0.234203 -0.11322
0 158 -0.237068 -0.0854773
1 158 -0.238023 -0.109394
0 159 0.0913854 -0.0854773
1 159 0.0942498 -0.0931306
0 160 0.102843 -0.080694
1 160 0.106853 -0.0881559
0 161 0.115256 -0.080694
1 161 0.12003 -0.0883473
0 162 -0.278124 -0.0787807
1 162 -0.283853 -0.105567
0 163 0.0827921 -0.0759107
1 163 0.0856566 -0.083564
0 164 0.0856566 -0.0730408
1 164 0.088521 -0.080694
0 165 0.105707 -0.0720841
1 165 0.108572 -0.0787807
0 166 0.207872 -0.0711274
1 166 0.207872 -0.0739974
0 167 0.210736 -0.0711274
1 167 0.210736 -0.0739974
0 168 -0.278124 -0.0701708
1 168 -0.283853 -0.0973398
0 169 -0.298175 -0.0692141
1 169 -0.305814 -0.0979138
0 170 -0.235158 -0.0682575
1 170 -0.238023 -0.0931306
0 171 -0.274305 -0.0673008
1 171 -0.280034 -0.0940872
0 172 -0.29913 -0.0663442
1 172 -0.305814 -0.0950439
0 173 -0.302949 -0.0634742
1 173 -0.310206 -0.0927479
0 174 0.218375 -0.0606042
1 174 0.21742 -0.0625175
0 175 0.190685 -0.0596476
1 175 0.19164 -0.0640482
0 176 -0.22752 -0.0567776
1 176 -0.231148 -0.08012
0 177 0.223149 -0.0558209
1 177 0.222194 -0.0567776
0 178 0.234606 -0.0558209
1 178 0.234033 -0.0571602
0 179 0.238426 -0.0548643
1 179 0.238616 -0.0548643
0 180 0.248928 -0.0539076
1 180 0.252366 -0.0537163
0 181 -0.214152 -0.0510376
1 181 -0.216062 -0.0739974
0 182 0.249883 -0.0510376
1 182 0.251793 -0.0510376
0 183 -0.292447 -0.0481677
1 183 -0.298175 -0.0749541
0 184 -0.212243 -0.0452977
1 184 -0.215107 -0.0682575
0 185 0.2432 -0.0433844
1 185 0.2432 -0.0433844
0 186 0.250838 -0.0424277
1 186 0.252748 -0.0424277
0 187 -0.289582 -0.0405144
1 187 -0.295311 -0.0682575
0 188 -0.259028 -0.0395578
1 188 -0.264757 -0.0653875
0 189 -0.279079 -0.0357311
1 189 -0.285763 -0.0625175
