9 15560 49659
0 0 0.235215 -0.504164
1 0 -0.00917586 -0.373817
0 1 -0.079843 -0.420212
1 1 -0.277122 -0.30312
0 2 0.411883 -0.36498
1 2 0.17927 -0.236842
0 3 -1.11924 -0.738346
1 3 -1.31063 -0.612418
0 4 -0.0032869 -0.707416
1 4 -0.232955 -0.57486
0 5 -1.23702 -0.744974
1 5 -1.42252 -0.619046
0 6 0.138047 -0.387073
1 6 -0.100454 -0.261144
0 7 0.432494 -0.72509
1 7 0.176325 -0.585907
0 8 0.311771 -0.638929
1 8 0.0614913 -0.504164
0 9 0.108603 -0.782531
1 9 -0.115177 -0.647766
0 10 0.294104 -0.859856
1 10 0.0143798 -0.709625
0 11 0.17927 -0.729509
1 11 -0.0562873 -0.594744
0 12 0.414827 -0.689742
1 12 0.158659 -0.550558
0 13 -1.17518 -0.844391
1 13 -1.37246 -0.709625
0 14 -0.883682 -0.559395
1 14 -1.10452 -0.437886
0 15 0.202826 -0.471025
1 15 -0.0327316 -0.342887
0 16 0.347104 -0.596953
1 16 0.0968249 -0.462188
0 17 -0.0592317 -0.517419
1 17 -0.265344 -0.39591
0 18 0.361827 -0.60579
1 18 0.111547 -0.471025
0 19 0.438383 -0.479862
1 19 0.217548 -0.353934
0 20 -1.21641 -0.831135
1 20 -1.41369 -0.698579
0 21 0.347104 -0.254517
1 21 0.111547 -0.128588
0 22 0.326493 -0.541721
1 22 0.090936 -0.411374
0 23 -1.23407 -0.862065
1 23 -1.42841 -0.7273
0 24 -1.22818 -0.714044
1 24 -1.41663 -0.590325
0 25 0.0173243 -0.627883
1 25 -0.206455 -0.499745
0 26 0.429549 -1.00788
1 26 0.129214 -0.8466
0 27 0.249937 -0.674277
1 27 -0.0032869 -0.537303
0 28 0.335327 -0.616836
1 28 0.0850471 -0.482071
0 29 0.0232133 -0.698579
1 29 -0.209399 -0.566023
0 30 0.376549 -0.601371
1 30 0.12627 -0.466606
0 31 0.408938 -0.72509
1 31 0.15277 -0.585907
0 32 0.129214 -0.459978
1 32 -0.100454 -0.33405
0 33 0.105658 -0.81567
1 33 -0.121066 -0.678696
0 34 0.0143798 -0.63451
1 34 -0.209399 -0.506373
0 35 0.42366 -0.687533
1 35 0.167492 -0.548349
0 36 -0.707014 -0.300911
1 36 -0.907238 -0.188239
0 37 0.294104 -0.904041
1 37 0.00849095 -0.751602
0 38 0.441327 -0.674277
1 38 0.188103 -0.537303
0 39 0.320604 -0.585907
1 39 0.0703248 -0.451141
0 40 0.0968249 -0.848809
1 40 -0.126954 -0.709625
0 41 0.0379356 -0.557186
1 41 -0.182899 -0.431258
0 42 -1.23702 -0.663231
1 42 -1.42546 -0.541721
0 43 0.523772 -0.954854
1 43 0.229326 -0.797996
0 44 0.0791581 -0.702998
1 44 -0.15051 -0.570442
0 45 -1.4343 -0.314167
1 45 -1.66985 -0.201494
0 46 0.297049 -0.689742
1 46 0.0438246 -0.552768
0 47 0.320604 -0.530675
1 47 0.0850471 -0.400328
0 48 0.435438 -0.663231
1 48 0.182214 -0.526256
0 49 0.305882 -0.532884
1 49 0.0673803 -0.402537
0 50 0.255826 -0.764857
1 50 -0.0032869 -0.623464
0 51 0.0732692 -0.674277
1 51 -0.153455 -0.54393
0 52 -1.21346 -0.733927
1 52 -1.40191 -0.607999
0 53 0.373605 -0.495327
1 53 0.135103 -0.36498
0 54 0.464883 -0.908459
1 54 0.173381 -0.753811
0 55 -1.17518 -0.802415
1 55 -1.37541 -0.672068
0 56 -1.13985 -0.568232
1 56 -1.33124 -0.451141
0 57 0.132159 -0.464397
1 57 -0.0975098 -0.338469
0 58 0.0879915 -0.844391
1 58 -0.138732 -0.705207
0 59 0.211659 -0.590325
1 59 -0.035676 -0.457769
0 60 -0.0032869 -0.607999
1 60 -0.221177 -0.482071
0 61 0.0114354 -0.54393
1 61 -0.203511 -0.420212
0 62 -1.23407 -0.663231
1 62 -1.42252 -0.541721
0 63 -0.636347 -0.320795
1 63 -0.83657 -0.208122
0 64 -0.724681 -0.338469
1 64 -0.92196 -0.225796
0 65 -1.08685 -0.250098
1 65 -1.28413 -0.141844
0 66 0.311771 -0.612418
1 66 0.0585469 -0.477652
0 67 -0.983794 -0.517419
1 67 -1.1958 -0.398119
0 68 -0.913127 -0.566023
1 68 -1.13691 -0.442304
0 69 -0.901349 -0.54614
1 69 -1.12218 -0.42463
0 70 0.311771 -0.66544
1 70 0.0556024 -0.528466
0 71 -0.548013 -0.744974
1 71 -0.748237 -0.616836
0 72 -1.06329 -0.278818
1 72 -1.25763 -0.170564
0 73 0.432494 -0.912878
1 73 0.140992 -0.758229
0 74 -1.23702 -0.616836
1 74 -1.42546 -0.497536
0 75 -0.939627 -0.63451
1 75 -1.16046 -0.508582
0 76 0.241104 -0.508582
1 76 -0.0032869 -0.378235
0 77 0.42366 -0.652185
1 77 0.170436 -0.51521
0 78 -0.792403 -0.594744
1 78 -1.01029 -0.471025
0 79 -0.801237 -0.316376
1 79 -0.995572 -0.205913
0 80 0.0349911 -0.654394
1 80 -0.191733 -0.524047
0 81 -1.05152 -0.585907
1 81 -1.26352 -0.464397
0 82 0.235215 -0.742764
1 82 -0.0209537 -0.603581
0 83 0.0791581 -0.797996
1 83 -0.15051 -0.661022
0 84 -0.718792 -0.358352
1 84 -0.916071 -0.245679
0 85 -1.20168 -0.590325
1 85 -1.39013 -0.473234
0 86 0.202826 -0.853228
1 86 -0.0680651 -0.705207
0 87 0.352993 -0.917297
1 87 0.0614913 -0.762648
0 88 -0.97496 -0.612418
1 88 -1.18696 -0.488699
0 89 0.12627 -0.400328
1 89 -0.112232 -0.2744
0 90 0.0320467 -0.654394
1 90 -0.194677 -0.524047
0 91 -1.00146 -0.300911
1 91 -1.20168 -0.190448
0 92 0.276437 -0.722881
1 92 0.0173243 -0.583697
0 93 0.214604 -0.590325
1 93 -0.0327316 -0.457769
0 94 0.182214 -0.760439
1 94 -0.0533428 -0.623464
0 95 -0.951405 -0.709625
1 95 -1.13691 -0.585907
0 96 0.0379356 -0.654394
1 96 -0.188788 -0.524047
0 97 -0.624569 -0.323004
1 97 -0.824793 -0.210331
0 98 0.388327 -0.926134
1 98 0.0968249 -0.771485
0 99 0.297049 -0.60579
1 99 0.0438246 -0.471025
0 100 -1.14574 -0.616836
1 100 -1.34007 -0.497536
0 101 0.417772 -0.353934
1 101 0.185159 -0.225796
0 102 0.0202688 -0.740555
1 102 -0.212344 -0.60579
0 103 -1.21641 -0.789159
1 103 -1.41074 -0.658812
0 104 0.34416 -0.316376
1 104 0.105658 -0.190448
0 105 -1.18402 -0.904041
1 105 -1.3813 -0.764857
0 106 -1.36363 -0.475443
1 106 -1.5933 -0.356143
0 107 0.196937 -0.594744
1 107 -0.0474538 -0.462188
0 108 -1.03974 -0.762648
1 108 -1.23113 -0.63451
0 109 -0.986738 -0.614627
1 109 -1.19874 -0.490908
0 110 0.158659 -0.501954
1 110 -0.0768985 -0.373817
0 111 -1.13691 -0.923924
1 111 -1.33124 -0.784741
0 112 0.0438246 -0.9659
1 112 -0.206455 -0.81567
0 113 0.0791581 -0.753811
1 113 -0.15051 -0.619046
0 114 -0.698181 -0.289865
1 114 -0.898404 -0.177192
0 115 0.0556024 -0.773694
1 115 -0.165232 -0.638929
0 116 0.246993 -0.442304
1 116 0.00849095 -0.314167
0 117 0.111547 -0.69637
1 117 -0.106343 -0.566023
0 118 -1.03679 -0.641138
1 118 -1.24291 -0.517419
0 119 0.143936 -0.976947
1 119 -0.129899 -0.822298
0 120 -0.804181 -0.683114
1 120 -1.01324 -0.557186
0 121 -1.16046 -0.475443
1 121 -1.38719 -0.356143
0 122 -1.22818 -0.795787
1 122 -1.42252 -0.66544
0 123 0.252882 -0.497536
1 123 0.0114354 -0.367189
0 124 0.0614913 -0.652185
1 124 -0.165232 -0.521838
0 125 -1.20168 -0.75602
1 125 -1.39602 -0.627883
0 126 0.0349911 -0.517419
1 126 -0.182899 -0.3937
0 127 -0.571569 -0.345096
1 127 -0.768848 -0.232424
0 128 0.361827 -0.318585
1 128 0.123325 -0.192657
0 129 -0.798292 -0.336259
1 129 -0.992627 -0.225796
0 130 -1.05741 -0.63672
1 130 -1.26352 -0.513001
0 131 -0.035676 -0.406956
1 131 -0.250622 -0.285446
0 132 0.0968249 -0.678696
1 132 -0.12401 -0.548349
0 133 0.352993 -0.979156
1 133 0.0585469 -0.820089
0 134 0.244048 -0.501954
1 134 0.00260199 -0.371608
0 135 0.302937 -0.709625
1 135 0.0438246 -0.570442
0 136 -1.20463 -0.590325
1 136 -1.39307 -0.473234
0 137 0.00554647 -0.435676
1 137 -0.218233 -0.311957
0 138 -0.818904 -0.309748
1 138 -1.01324 -0.199285
0 139 0.355938 -0.667649
1 139 0.102714 -0.530675
0 140 0.105658 -0.842181
1 140 -0.118121 -0.702998
0 141 -0.715847 -0.459978
1 141 -0.913127 -0.345096
0 142 -0.954349 -0.601371
1 142 -1.17518 -0.477652
0 143 0.196937 -0.596953
1 143 -0.0474538 -0.464397
0 144 -0.792403 -0.733927
1 144 -0.980849 -0.607999
0 145 0.411883 -0.919506
1 145 0.120381 -0.764857
